-0.0003 0.0016 -0.0012 -0.0142 -0.0170 -0.2897 -0.3013 -0.9606 0.9627 -1.6630 1.6601 
-0.0001 0.0013 -0.0014 -0.0391 -0.0478 -0.5483 -0.5576 -0.4384 0.4255 0.6699 -0.6702 
-0.0028 0.0178 -0.0149 -0.1893 -0.2199 -0.7927 -0.7748 0.7073 -0.7202 -0.5667 0.5758 
-0.0017 0.0785 -0.1550 -0.6977 -0.6792 0.2196 0.2384 -0.1466 0.1611 0.0918 -0.0985 
-0.0510 0.6143 -0.7699 0.1235 0.2576 -0.0586 -0.1184 0.0452 -0.0890 -0.0334 0.0616 
0.5571 -0.0000 0.1586 0.0000 -0.0590 0.0000 0.0279 0.0000 0.0213 0.0000 -0.0150 
-0.0510 -0.6143 -0.7699 -0.1235 0.2576 0.0586 -0.1184 -0.0452 -0.0890 0.0334 0.0616 
-0.0017 -0.0785 -0.1550 0.6977 -0.6792 -0.2196 0.2384 0.1466 0.1611 -0.0918 -0.0985 
-0.0028 -0.0178 -0.0149 0.1893 -0.2199 0.7927 -0.7748 -0.7073 -0.7202 0.5667 0.5758 
-0.0001 -0.0013 -0.0014 0.0391 -0.0478 0.5483 -0.5576 0.4384 0.4255 -0.6699 -0.6702 
-0.0003 -0.0016 -0.0012 0.0142 -0.0170 0.2897 -0.3013 0.9606 0.9627 1.6630 1.6601 
